---,Title,Type,QuestGroupTitle,QuestGroupSubtitle,LocationName,RecommendedLevel,BannerImage,Status,Summary,NPCButtonTextKey,Description,Objectives,bSequentialObjectives,RadioOnStart,RadioOnComplete,CinematicOnStart,Reward,RewardText,Icon,PrereqQuestId,NextQuestId,QuestGiverNPC,bAutoClaim,bRepeatable
Q_Welcome,"NSLOCTEXT("""", ""A08171B442FE41EDBEC3D189E477FED5"", ""귀환 신고"")",Main,"NSLOCTEXT("""", ""BDBDC9E34BABBE15CF3ED6AC588A2FD8"", ""기지 적응"")","NSLOCTEXT("""", ""2F245EE34DF428D8BD47EE9B1C93470F"", ""Chapter 1: 재정비"")",,1,None,InProgress,"NSLOCTEXT("""", ""0997A9204F1F5C9A3A0EE79101216A41"", ""교육 조교 탈에게 복귀를 신고하고 보급을 수령한다."")",Quest.NPCButton.Q_Welcome,"NSLOCTEXT("""", ""848A5C0E4007EF2ECD87C1863F930CAD"", ""전선에서 복귀한 계승자는 교육 조교에게 복귀 신고를 마친 뒤 보급 창구에 들러야 한다. 서류상 아직 실종자로 남아 있으니 절차부터 밟아라."")","((Type=TalkToNPC,TargetId=""NPC_Instructor"",TargetTag=(TagName=""""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""A2311E5A4AD8852D9D58B5971D0D0EEF"", ""교육 조교 탈에게 복귀 신고""),RadioOnStart=,RadioOnComplete=(""Radio_Welcome_Start"")),(Type=TalkToNPC,TargetId=""NPC_ItemShop"",TargetTag=(TagName=""""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""980BFF964F60BD6A86F9C0862045085A"", ""보급상 데크에게 보급 수령""),RadioOnStart=,RadioOnComplete=))",True,"(""Radio_Base_Welcome"")","(""Radio_Welcome_Clear"")","(Sequence=None,RequiredWorld=None,StartDelay=0.000000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=500,PurchaseRefund=(Rate=0.000000,MaxCredits=0),Items=((RowId=""Cons_Repair_01"",Count=2)))","NSLOCTEXT("""", ""E5B2066C4E434B056CA60DAF9EF72BC2"", ""크레딧 500 · 나노 수리킷 ×2"")",None,None,Q_Mobility,NPC_Instructor,True,False
Q_Mobility,"NSLOCTEXT("""", ""39BA261F4AD6888ACE28BC8E17D5B8E4"", ""기동 규격 확보"")",Main,"NSLOCTEXT("""", ""FF499A4F4637BC283C696A84D75A4D9F"", ""기지 적응"")","NSLOCTEXT("""", ""7EF427CB499F7106A986AF9397EAD1EB"", ""Chapter 1: 재정비"")",,1,None,NotStarted,"NSLOCTEXT("""", ""86C46A5141FCA986CE045EA1A644FD6C"", ""손상된 구동계를 보강하고 비어 있는 3주치 로그를 확인한다."")",Quest.NPCButton.Q_Mobility,"NSLOCTEXT("""", ""EAEA43B54408EE75C8D2868617F6E2E0"", ""세라가 복귀 외골격의 구동계에서 비정상적인 마모와 누락된 기록을 발견했다. 데크에게서 질풍 모듈을 확보한 뒤 세라에게 체결을 맡겨 궤도 작전 규격을 회복하라."")","((Type=AcquireItem,TargetId=""Mod_Swift_01"",TargetTag=(TagName=""""),GuidanceNPCRowName=""NPC_ItemShop"",GuidanceScreenTag=(TagName=""UI.Screen.Shop""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""2A3FC29140B33E566049A3A658B1463E"", ""보급상 데크에게서 질풍 모듈 구매""),RadioOnStart=,RadioOnComplete=),(Type=TalkToNPC,TargetId=""NPC_ModuleManager"",TargetTag=(TagName=""""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""0A3E2B26459D926181B6C28B7113A04F"", ""세라에게 질풍 모듈 체결 요청""),RadioOnStart=,RadioOnComplete=))",True,,"(""Radio_Mobility_Clear"")","(Sequence=""/Game/Cinematics/Quest/Q_Mobility/LS_Q_Mobility_Start.LS_Q_Mobility_Start"",RequiredWorld=""/Game/Maps/IngameMap/HubMap1.HubMap1"",StartDelay=0.350000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=300,PurchaseRefund=(Rate=1.000000,MaxCredits=0),Items=)","NSLOCTEXT("""", ""B64F30EF4FF3E8012EEDF5B98C59A432"", ""구매액 100% 환급 · 완료 보너스 300 크레딧"")",None,Q_Welcome,Q_Endurance,NPC_ModuleManager,True,False
Q_Endurance,"NSLOCTEXT("""", ""CFA2C4CF4C797A0F725D979243BCC962"", ""지구력 보강"")",Main,"NSLOCTEXT("""", ""5312EE36496793D24C61B2A545C53B22"", ""기지 적응"")","NSLOCTEXT("""", ""16A730204B3B93125380E5A2174A0DCD"", ""Chapter 1: 재정비"")",,2,None,NotStarted,"NSLOCTEXT("""", ""8AB8A3944573E42CA3BC159AA3CBC1A2"", ""지구력 코어를 확보해 보로스에게 외골격 순환계를 보강받는다."")",Quest.NPCButton.Q_Endurance,"NSLOCTEXT("""", ""E4B70F55445E431B710BF9BE9F0948A1"", ""고속 구동을 버티려면 외골격의 에너지 순환계부터 안정시켜야 한다. 데크에게서 지구력 코어를 확보한 뒤 정비병 보로스에게 가져가라."")","((Type=AcquireItem,TargetId=""Mod_Endure_01"",TargetTag=(TagName=""""),GuidanceNPCRowName=""NPC_ItemShop"",GuidanceScreenTag=(TagName=""UI.Screen.Shop""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""022C6CCA4B044CBB35EC3C8FBDD465D7"", ""보급상 데크에게서 지구력 코어 구매""),RadioOnStart=,RadioOnComplete=),(Type=TalkToNPC,TargetId=""NPC_Mechanic"",TargetTag=(TagName=""""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""F41BF02E48B865A2E4866BA11CA996ED"", ""보로스에게 순환계 정비 요청""),RadioOnStart=,RadioOnComplete=))",True,"(""Radio_Endurance_Start"")","(""Radio_Endurance_Clear"")","(Sequence=None,RequiredWorld=None,StartDelay=0.000000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=400,PurchaseRefund=(Rate=1.000000,MaxCredits=0),Items=)","NSLOCTEXT("""", ""4B0737CB4184424CCEFEDDA08BB3EFA9"", ""구매액 100% 환급 · 완료 보너스 400 크레딧"")",None,Q_Mobility,Quest_Reach,NPC_Mechanic,True,False
Q_Arsenal,"NSLOCTEXT("""", ""489985C047345CEB707C0CA2C6DCD0ED"", ""무장 확충"")",Side,"NSLOCTEXT("""", ""9D1F50CB4BA19C2CA2E1CDBD7287F663"", ""장비 강화"")","NSLOCTEXT("""", ""4DBC02204A094E953BD934BC27BD0268"", ""상점 연계"")",,3,None,NotStarted,"NSLOCTEXT("""", ""59798EE6450B12F94CBE8E86404D1CFE"", ""광폭 회로를 구해 세라에게 장착을 맡긴다."")",Quest.NPCButton.Q_Arsenal,"NSLOCTEXT("""", ""FFBDE4894516727D59EA86B75BD32DC3"", ""고강도 교전 구역 투입을 앞두고 화력 규격이 상향됐다. 보급상 데크에게서 광폭 회로를 확보한 뒤 모듈 관리관 세라에게 체결을 맡겨라."")","((Type=AcquireItem,TargetId=""Mod_Berserk_01"",TargetTag=(TagName=""""),GuidanceNPCRowName=""NPC_ItemShop"",GuidanceScreenTag=(TagName=""UI.Screen.Shop""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""3B25B7054E34206D0E1400846DDDD0B1"", ""보급상 데크에게서 광폭 회로 구매""),RadioOnStart=,RadioOnComplete=),(Type=TalkToNPC,TargetId=""NPC_ModuleManager"",TargetTag=(TagName=""""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""CD3DFD784871A054433FEBA236B48F0B"", ""세라에게 장착 요청""),RadioOnStart=,RadioOnComplete=))",True,,"(""Radio_Arsenal_Clear"")","(Sequence=None,RequiredWorld=None,StartDelay=0.000000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=600,PurchaseRefund=(Rate=1.000000,MaxCredits=0),Items=)","NSLOCTEXT("""", ""6833262F4DEF117BD73ADC9C9D419BF1"", ""구매액 100% 환급 · 완료 보너스 600 크레딧"")",None,Q_Mobility,None,NPC_ModuleManager,True,False
Q_Fortress,"NSLOCTEXT("""", ""7B98071D4F33F9516906F1BBC74E55C7"", ""철벽 확보"")",Side,"NSLOCTEXT("""", ""A6F63C1748905D855DE9FD882EC67FA0"", ""장비 강화"")","NSLOCTEXT("""", ""3F59A8E148E83968B5F103800E6D0599"", ""상점 연계"")",,5,None,NotStarted,"NSLOCTEXT("""", ""F0D237F24FF755C04A54D2B7DB8602D8"", ""철벽 프로토콜을 구해 세라에게 장착을 맡긴다."")",Quest.NPCButton.Q_Fortress,"NSLOCTEXT("""", ""B174EF25443DA4F81C505F8A8F07C1E4"", ""방어 거점 사수 임무에 대비해 최고 등급 방어 규격이 요구된다. 보급상 데크에게서 철벽 프로토콜을 확보한 뒤 세라에게 체결을 맡겨라."")","((Type=AcquireItem,TargetId=""Mod_Bastion_01"",TargetTag=(TagName=""""),GuidanceNPCRowName=""NPC_ItemShop"",GuidanceScreenTag=(TagName=""UI.Screen.Shop""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""A04036334AF62980AB3CBC81FB779D4A"", ""보급상 데크에게서 철벽 프로토콜 구매""),RadioOnStart=,RadioOnComplete=),(Type=TalkToNPC,TargetId=""NPC_ModuleManager"",TargetTag=(TagName=""""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""9568178345E412766798758706E9DAF6"", ""세라에게 장착 요청""),RadioOnStart=,RadioOnComplete=))",True,,"(""Radio_Fortress_Clear"")","(Sequence=None,RequiredWorld=None,StartDelay=0.000000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=800,PurchaseRefund=(Rate=1.000000,MaxCredits=0),Items=)","NSLOCTEXT("""", ""D6F2BB4A49BF10A5FA46A7A8F22D4A31"", ""구매액 100% 환급 · 완료 보너스 800 크레딧"")",None,Q_Arsenal,None,NPC_ModuleManager,True,False
Q_Apex,"NSLOCTEXT("""", ""A806A0C54006C69BE64695BA041E9BCD"", ""최종 병기 조달"")",Side,"NSLOCTEXT("""", ""D98D84924A0943CEDB502EBCA9DF2B01"", ""장비 강화"")","NSLOCTEXT("""", ""EAEA541644E21153C4DBEE8E5B3C49EC"", ""상점 연계"")",,6,None,NotStarted,"NSLOCTEXT("""", ""6245BC6149B9229ECD24788340CA450E"", ""관통자 레일건을 조달해 주무장을 교체한다."")",Quest.NPCButton.Q_Apex,"NSLOCTEXT("""", ""48D151344A4FBBECFFA45EABADF81207"", ""차기 작전의 핵심 표적은 중장갑 유닛이다. 보급상 데크에게 장갑을 무시하는 관통자 레일건을 조달해 주무장 규격을 최상위로 끌어올려라."")","((Type=AcquireItem,TargetId=""Wpn_Rail_01"",TargetTag=(TagName=""""),GuidanceNPCRowName=""NPC_ItemShop"",GuidanceScreenTag=(TagName=""UI.Screen.Shop""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""A2436CDC4DA2F36B04EE69BA9F6DDAAF"", ""관통자 레일건 확보""),RadioOnStart=,RadioOnComplete=))",False,,"(""Radio_Apex_Clear"")","(Sequence=None,RequiredWorld=None,StartDelay=0.000000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=1000,PurchaseRefund=(Rate=1.000000,MaxCredits=0),Items=)","NSLOCTEXT("""", ""BAB61E7B46674D1CAD373DA8D0AF4CEB"", ""구매액 100% 환급 · 완료 보너스 1,000 크레딧"")",None,Q_Arsenal,None,NPC_ItemShop,True,False
Q_FirstSync,"NSLOCTEXT(""DT_QuestData [BEF0E53BB3B8EDC9C2DFD2179222692A]"", ""F1CB544946A3C867D3896C98348DB9B2"", ""각성 프로토콜"")",Main,"NSLOCTEXT(""DT_QuestData [BEF0E53BB3B8EDC9C2DFD2179222692A]"", ""Q_FirstSync_QuestGroupTitle"", ""복귀 기록"")","NSLOCTEXT(""DT_QuestData [BEF0E53BB3B8EDC9C2DFD2179222692A]"", ""Q_FirstSync_QuestGroupSubtitle"", ""Prologue: 각성"")",,1,None,Claimed,"NSLOCTEXT(""DT_QuestData [BEF0E53BB3B8EDC9C2DFD2179222692A]"", ""88E574784FA2F107D5FEEE8BC63288EC"", ""외골격 재동기화는 완료됐지만 이후 3주간의 임무 기록이 비어 있다."")",Quest.NPCButton.Q_FirstSync,"NSLOCTEXT(""DT_QuestData [BEF0E53BB3B8EDC9C2DFD2179222692A]"", ""4D55B7054F6413BC92F325B492C1817F"", ""전선 복귀 전 수행한 외골격 재동기화 기록이다. 당시 동기율은 권장치를 넘겼으나, 같은 날 발생한 작전 이후 생체·전투 로그 3주분이 통째로 유실됐다."")",,False,,,"(Sequence=None,RequiredWorld=None,StartDelay=0.000000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=500,PurchaseRefund=(Rate=0.000000,MaxCredits=0),Items=)","NSLOCTEXT(""DT_QuestData [BEF0E53BB3B8EDC9C2DFD2179222692A]"", ""E5767E2D4CF4BED2027F3592549F3359"", ""크레딧 500"")",None,None,None,None,False,False
Q_Contamination,"NSLOCTEXT("""", ""6A65556C4A26143276EE5986ABEE458D"", ""사격조 제압"")",Side,"NSLOCTEXT("""", ""F76884864004DEDC38ABB6AFCEC775D3"", ""전선 임무"")","NSLOCTEXT(""DT_QuestData"", ""Q_Contamination_GroupSubtitle"", ""Chapter 4: 잔류 신호"")",,5,None,NotStarted,"NSLOCTEXT("""", ""2E45C64341FB021A7A24CDB362598BE7"", ""원거리 사격형 적 2기를 제압한다."")",Quest.NPCButton.Q_Contamination,"NSLOCTEXT("""", ""B8003DDD488CFFFCBCC427A29415ED08"", ""엄폐물 뒤에서 아군 진입로를 봉쇄하는 사격형 유닛이 확인됐다. 균열에서 새어 나온 오염 농도가 짙은 구역이라 장기 노출은 금물이다. 기갑병 릭의 요청대로 사격조를 제압하라."")","((Type=KillTarget,TargetId="""",TargetTag=(TagName=""Enemy.Type.Shooter""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=2,Label=NSLOCTEXT("""", ""EBEC7A7D4EADAE81B1D060BF654671B4"", ""사격형 처치""),RadioOnStart=,RadioOnComplete=))",False,"(""Radio_Shooter_Start"")","(""Radio_Shooter_Clear"")","(Sequence=None,RequiredWorld=None,StartDelay=0.000000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=1600,PurchaseRefund=(Rate=0.000000,MaxCredits=0),Items=((RowId=""Mod_Berserk_01"",Count=1)))","NSLOCTEXT("""", ""E2CA36C0429D60DB649E8B82723985A8"", ""크레딧 1,600 · 광폭 회로 ×1"")",None,Q_Dungeon_Gate,None,NPC_Trooper_A,True,False
Quest_Reach,"NSLOCTEXT("""", ""CE6E28914D154416AE7A8AA21818413A"", ""방어선 정찰"")",Main,"NSLOCTEXT("""", ""1B3F2A194CCF592EF1CCA8B9FF5F6610"", ""기지 적응"")","NSLOCTEXT("""", ""A2F38F99413C1CC502AA2D9F71144A48"", ""Chapter 1: 재정비"")",,1,None,NotStarted,"NSLOCTEXT("""", ""0CFDE52C480E9F9C8724FCB1CB051A94"", ""후퇴한 보급창고 방어선을 정찰하고 콜에게 보고한다."")",Quest.NPCButton.Quest_Reach,"NSLOCTEXT(""DT_QuestData"", ""Quest_Reach_Description"", ""탈은 계승자가 실종된 날 이후 방어선이 얼마나 밀렸는지 직접 확인하라고 지시했다. 보급창고 외곽까지 이동해 방어선 상태를 확인하고 보초병 콜에게 보고하라."")","((Type=TalkToNPC,TargetId=""NPC_Instructor"",TargetTag=(TagName=""""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT(""DT_QuestData"", ""Quest_Reach_Objective_Instructor"", ""교육 조교 탈에게 작전 지시 받기""),RadioOnStart=,RadioOnComplete=),(Type=ReachLocation,TargetId="""",TargetTag=(TagName=""Location.Quest.Depot""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT(""DT_QuestData"", ""Quest_Reach_Objective_Depot"", ""보급창고 외곽 방어선 도달""),RadioOnStart=,RadioOnComplete=(""Radio_Depot_Arrive"")),(Type=TalkToNPC,TargetId=""NPC_Sentry_A"",TargetTag=(TagName=""""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT(""DT_QuestData"", ""Quest_Reach_Objective_Sentry"", ""보초병 콜에게 방어선 상황 보고""),RadioOnStart=,RadioOnComplete=))",True,"(""Radio_Reach_Start"")","(""Radio_Reach_Clear"")","(Sequence=None,RequiredWorld=None,StartDelay=0.000000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=400,PurchaseRefund=(Rate=0.000000,MaxCredits=0),Items=)","NSLOCTEXT("""", ""970654024323246969CD9C8A4AC896CD"", ""크레딧 400"")",None,Q_Endurance,Q_Elevator_Deploy,NPC_Instructor,True,False
Quest_Talk,"NSLOCTEXT("""", ""3D50983F4DED274DA9930499E8495B90"", ""실종 기체 보고"")",Main,"NSLOCTEXT("""", ""4DD694204B2B906841BFFFBE779A6D43"", ""전선 임무"")","NSLOCTEXT(""DT_QuestData"", ""Quest_Talk_GroupSubtitle"", ""Chapter 4: 봉인된 기록"")",,4,None,NotStarted,"NSLOCTEXT("""", ""04E457DF4FDBB88D5B2FA198D1B848A8"", ""발렌에게 실종 기체와 궤도 엘리베이터 작전 결과를 보고한다."")",Quest.NPCButton.Quest_Talk,"NSLOCTEXT(""DT_QuestData"", ""Quest_Talk_Description"", ""궤도 엘리베이터에서 발견한 기체는 계승자가 실종된 날 함께 사라진 아군 호위 기체였다. 확보한 식별 기록과 교전 결과를 발렌에게 보고하라."")","((Type=TalkToNPC,TargetId=""NPC_Officer"",TargetTag=(TagName=""""),GuidanceNPCRowName="""",GuidanceScreenTag=(TagName=""""),AcceptRadius=3.000000,RequiredCount=1,Label=NSLOCTEXT("""", ""E2C588954FD952339DB740A329088E16"", ""발렌에게 실종 기체 보고""),RadioOnStart=,RadioOnComplete=))",False,,"(""Radio_Talk_Clear"")","(Sequence=None,RequiredWorld=None,StartDelay=0.000000,PlayRate=1.000000,bHideHUD=True,bHidePlayer=True,bDisableMovementInput=True,bDisableLookAtInput=True,bSkippable=True)","(Credits=700,PurchaseRefund=(Rate=0.000000,MaxCredits=0),Items=)","NSLOCTEXT("""", ""195488D044F57C3090A1F58B361E77AB"", ""크레딧 700"")",None,Q_Dungeon_Gate,Q_Mark_Trace,None,True,False
